seasonid,season_start,season_end,era,league_id,mvp_tie,season_mvp,player_name,player_full_name,nba_mvps,position,positions_played,shooting_hand,height,height_inches,weight,bref_url_player,teamid_mvp_bref,team_name_mvp_bref,current_team_name,current_team,current_team_conference,current_team_division,current_team_hex_color,mvp_age,birth_year,birthdate,birth_city,birth_state,birth_location,birth_longitude,birth_latitude,college,draft_team,draft_position,pick_round,round_pick,overall_pick,draft_year,nba_debut,aba_debut,nba_hof_year,player_numbers,hs_location,high_school,hs_city,hs_state,hs_longitude,hs_latitude,hs_year,hs_rank,as_coach,coach_seasons,coach_win_percentage,coach_wins,coach_losses,games_played,minutes_per_game,points_per_game,total_rebounds_per_game,assists_per_game,steals_per_game,blocks_per_game,field_goal_percentage,three_point_percentage,free_throw_percentage,win_share,win_share_per_48
1955-56,1955,1956,1954 to 1959,NBA,FALSE,TRUE,Bob Pettit,Robert E. Lee Pettit Jr.,2,"PF, C",2,Right,6'9,81,205,http://www.basketball-reference.com/players/p/pettibo01.html,STL,St. Louis Hawks,Atlanta Hawks,Hawks,Eastern,Southeast,#000080,23,1932,12/12/32,Baton Rouge,Louisiana,"Baton Rouge, Louisiana",-91.1403196,30.4582829,Louisiana State University,Milwaukee Hawks,1st round - 2nd pick 2nd overall,1,2,2,1954,10/30/54,,1971,"9, 9","Baton Rouge, Louisiana",Baton Rouge ,Baton Rouge,Louisiana,-91.1403196,30.4582829,NA,NA,"1 Yr, 4-2, .667",1,0.667,4,2,72,38.8,25.7,16.2,2.6,NA,NA,42.9,NA,73.6,13.8,23.6
1956-57,1956,1957,1954 to 1959,NBA,FALSE,TRUE,Bob Cousy,Robert Joseph Cousy,1,PG,1,Right,6'1,73,175,http://www.basketball-reference.com/players/c/cousybo01.html,BOS,Boston Celtics,Boston Celtics,Celtics,Eastern,Atlantic,#009E60,28,1928,8/9/28,New York,New York,"New York, New York",-73.9780035,40.7056308,College of the Holy Cross,Tri-Cities Blackhawks,1st round - 3rd pick 3rd overall,1,3,3,1950,11/1/50,,1971,"14, 19","Cambria Heights, New York",Andrew Jackson ,Cambria Heights,New York,-73.7330753,40.692158,NA,NA,"5 Yr, 141-207, .405",5,0.405,141,207,64,36.9,20.6,4.8,7.5,NA,NA,37.8,NA,82.1,8.8,17.8
1957-58,1957,1958,1954 to 1959,NBA,FALSE,TRUE,Bill Russell,William Felton Russell,5,C,1,Left,6'10,82,215,http://www.basketball-reference.com/players/r/russebi01.html,BOS,Boston Celtics,Boston Celtics,Celtics,Eastern,Atlantic,#009E60,23,1934,2/12/34,Monroe,Louisiana,"Monroe, Louisiana",-92.1193012,32.5093109,University of San Francisco,St. Louis Hawks,1st round - 2nd pick 2nd overall,1,2,2,1956,12/22/56,,1975,6,"Oakland, California",McClymonds ,Oakland,California,-122.2711137,37.8043637,NA,NA,"8 Yr, 341-290, .540",8,0.54,341,290,69,38.3,16.6,22.7,2.9,NA,NA,44.2,NA,51.9,11.3,20.6
1958-59,1958,1959,1954 to 1959,NBA,FALSE,TRUE,Bob Pettit,Robert E. Lee Pettit Jr.,2,"PF, C",2,Right,6'9,81,205,http://www.basketball-reference.com/players/p/pettibo01.html,STL,St. Louis Hawks,Atlanta Hawks,Hawks,Eastern,Southeast,#000080,26,1932,12/12/32,Baton Rouge,Louisiana,"Baton Rouge, Louisiana",-91.1403196,30.4582829,Louisiana State University,Milwaukee Hawks,1st round - 2nd pick 2nd overall,1,2,2,1954,10/30/54,,1971,"9, 9","Baton Rouge, Louisiana",Baton Rouge ,Baton Rouge,Louisiana,-91.1403196,30.4582829,NA,NA,"1 Yr, 4-2, .667",1,0.667,4,2,72,39.9,29.2,16.4,3.1,NA,NA,43.8,NA,75.9,14.8,24.6
1959-60,1959,1960,1960 to 1969,NBA,FALSE,TRUE,Wilt Chamberlain,Wilton Norman Chamberlain,4,C,1,Right,7'1,85,275,http://www.basketball-reference.com/players/c/chambwi01.html,PHW,Philadelphia Warriors,Golden State Warriors,Warriors,Western,Pacific,#04529c,23,1936,8/21/36,Philadelphia,Pennsylvania,"Philadelphia, Pennsylvania",-75.163789,39.952335,University of Kansas,Philadelphia Warriors,territorial pick,territorial pick,territorial,territorial,1959,10/24/59,,1979,"13, 13, 13, 13, 13","Philadelphia, Pennsylvania",Overbrook ,Philadelphia,Pennsylvania,-75.163789,39.952335,NA,NA,"1 Yr, 37-47, .440",1,0.44,37,47,72,46.4,37.6,27,2.3,NA,NA,46.1,NA,58.2,17,24.5
1960-61,1960,1961,1960 to 1969,NBA,FALSE,TRUE,Bill Russell,William Felton Russell,5,C,1,Left,6'10,82,215,http://www.basketball-reference.com/players/r/russebi01.html,BOS,Boston Celtics,Boston Celtics,Celtics,Eastern,Atlantic,#009E60,26,1934,2/12/34,Monroe,Louisiana,"Monroe, Louisiana",-92.1193012,32.5093109,University of San Francisco,St. Louis Hawks,1st round - 2nd pick 2nd overall,1,2,2,1956,12/22/56,,1975,6,"Oakland, California",McClymonds ,Oakland,California,-122.2711137,37.8043637,NA,NA,"8 Yr, 341-290, .540",8,0.54,341,290,78,44.3,16.9,23.9,3.4,NA,NA,42.6,NA,55,13,18.1
1961-62,1961,1962,1960 to 1969,NBA,FALSE,TRUE,Bill Russell,William Felton Russell,5,C,1,Left,6'10,82,215,http://www.basketball-reference.com/players/r/russebi01.html,BOS,Boston Celtics,Boston Celtics,Celtics,Eastern,Atlantic,#009E60,27,1934,2/12/34,Monroe,Louisiana,"Monroe, Louisiana",-92.1193012,32.5093109,University of San Francisco,St. Louis Hawks,1st round - 2nd pick 2nd overall,1,2,2,1956,12/22/56,,1975,6,"Oakland, California",McClymonds ,Oakland,California,-122.2711137,37.8043637,NA,NA,"8 Yr, 341-290, .540",8,0.54,341,290,76,45.2,18.9,23.6,4.5,NA,NA,45.7,NA,59.5,15.5,21.7
1962-63,1962,1963,1960 to 1969,NBA,FALSE,TRUE,Bill Russell,William Felton Russell,5,C,1,Left,6'10,82,215,http://www.basketball-reference.com/players/r/russebi01.html,BOS,Boston Celtics,Boston Celtics,Celtics,Eastern,Atlantic,#009E60,28,1934,2/12/34,Monroe,Louisiana,"Monroe, Louisiana",-92.1193012,32.5093109,University of San Francisco,St. Louis Hawks,1st round - 2nd pick 2nd overall,1,2,2,1956,12/22/56,,1975,6,"Oakland, California",McClymonds ,Oakland,California,-122.2711137,37.8043637,NA,NA,"8 Yr, 341-290, .540",8,0.54,341,290,78,44.9,16.8,23.6,4.5,NA,NA,43.2,NA,55.5,13.5,18.5
1963-64,1963,1964,1960 to 1969,NBA,FALSE,TRUE,Oscar Robertson,Oscar Palmer Robertson,1,PG,1,Right,6'5,77,205,http://www.basketball-reference.com/players/r/roberos01.html,CIN,Cincinnati Royals,Sacramento Kings,Kings,Western,Pacific,#753BBD,25,1938,11/24/38,Charlotte,Tennessee,"Charlotte, Tennessee",-87.3397319,36.1772797,University of Cincinnati,Cincinnati Royals,1st round - 1st pick 1st overall,1,1,1,1960,10/19/60,,1980,"14, 1","Indianapolis, Indiana",Crispus Attucks ,Indianapolis,Indiana,-86.158068,39.768403,NA,NA,,NA,NA,NA,NA,79,45.1,31.4,9.9,11,NA,NA,48.3,NA,85.3,20.6,27.8
1964-65,1964,1965,1960 to 1969,NBA,FALSE,TRUE,Bill Russell,William Felton Russell,5,C,1,Left,6'10,82,215,http://www.basketball-reference.com/players/r/russebi01.html,BOS,Boston Celtics,Boston Celtics,Celtics,Eastern,Atlantic,#009E60,30,1934,2/12/34,Monroe,Louisiana,"Monroe, Louisiana",-92.1193012,32.5093109,University of San Francisco,St. Louis Hawks,1st round - 2nd pick 2nd overall,1,2,2,1956,12/22/56,,1975,6,"Oakland, California",McClymonds ,Oakland,California,-122.2711137,37.8043637,NA,NA,"8 Yr, 341-290, .540",8,0.54,341,290,78,44.4,14.1,24.1,5.3,NA,NA,43.8,NA,57.3,16.9,23.4
